PlateID,Num_CIL_images,Num_CIL_wells,Num_CIL_complete wells,Num_CIL_sites,Num_CIL_complete_sites,Num_QC_stats,Num_blurry_sites,Num_saturated_sites,Num_well_profiles
24785,11520,384,384,2304,2304,2304,0,1,382
24789,11520,384,384,2304,2304,2304,0,6,384
24792,11520,384,384,2304,2304,2304,0,6,383
24793,11520,384,384,2304,2304,2304,2,9,383
24795,11520,384,384,2304,2304,2304,0,4,384
24796,11520,384,384,2304,2304,2304,2,7,382
24797,11520,384,384,2304,2304,2304,1,9,376
25372,11520,384,384,2304,2304,2304,0,145,384
25374,11520,384,384,2304,2304,2304,0,97,384
25376,11520,384,384,2304,2304,2304,0,104,384
25378,11520,384,384,2304,2304,2304,0,159,384
25380,11520,384,384,2304,2304,2304,0,133,384
25382,11520,384,384,2304,2304,2304,0,148,384
25387,11520,384,384,2304,2304,2304,0,192,384
25391,11520,384,384,2304,2304,2304,6,213,384
25392,11520,384,384,2304,2304,2304,0,177,384
25403,11520,384,384,2304,2304,2304,0,197,384
25406,11520,384,384,2304,2304,2304,0,70,382
25408,11520,384,384,2304,2304,2304,0,60,384
25410,11520,384,384,2304,2304,2304,0,56,383
25414,11520,384,384,2304,2304,2304,0,76,384
25416,11520,384,384,2304,2304,2304,0,61,383
25418,11520,384,384,2304,2304,2304,0,86,384
25420,11520,384,384,2304,2304,2304,0,65,384
25422,11520,384,384,2304,2304,2304,0,81,384
25424,11520,384,384,2304,2304,2304,0,68,384
25426,11520,384,384,2304,2304,2304,0,67,384
25428,11520,384,384,2304,2304,2304,0,26,384
25430,11520,384,384,2304,2304,2304,0,22,384
25432,11515,384,383,2303,2303,2303,0,17,384
25434,11520,384,384,2304,2304,2304,0,12,383
25435,11520,384,384,2304,2304,2304,0,8,384
25436,11520,384,384,2304,2304,2304,0,6,384
25438,11520,384,384,2304,2304,2304,0,17,384
25485,11520,384,384,2304,2304,2304,0,6,384
25488,11520,384,384,2304,2304,2304,0,32,384
25490,11520,384,384,2304,2304,2304,0,13,384
25492,11520,384,384,2304,2304,2304,0,59,384
25503,11520,384,384,2304,2304,2304,0,39,384
25553,11520,384,384,2304,2304,2304,0,8,384
25564,11520,384,384,2304,2304,2304,0,33,384
25565,11520,384,384,2304,2304,2304,1,49,384
25566,11520,384,384,2304,2304,2304,0,49,384
25567,11520,384,384,2304,2304,2304,0,55,384
25568,11520,384,384,2304,2304,2304,0,104,384
25569,11520,384,384,2304,2304,2304,0,49,18
25570,11520,384,384,2304,2304,2304,1,59,63
25571,11520,384,384,2304,2304,2304,0,47,99
25572,11520,384,384,2304,2304,2304,0,79,94
25573,11520,384,384,2304,2304,2304,0,27,114
25575,11520,384,384,2304,2304,2304,0,11,242
25576,11520,384,384,2304,2304,2304,0,62,290
25578,11520,384,384,2304,2304,2304,0,41,343
25579,11520,384,384,2304,2304,2304,0,50,376
25580,11520,384,384,2304,2304,2304,0,58,384
25581,11520,384,384,2304,2304,2304,0,57,375
25583,11520,384,384,2304,2304,2304,0,89,383
25584,11520,384,384,2304,2304,2304,0,51,371
25585,11520,384,384,2304,2304,2304,0,61,378
25587,11520,384,384,2304,2304,2304,0,49,378
25588,11520,384,384,2304,2304,2304,0,77,382
25590,11520,384,384,2304,2304,2304,0,39,375
25591,11520,384,384,2304,2304,2304,0,93,380
25592,11520,384,384,2304,2304,2304,0,91,384
25593,11520,384,384,2304,2304,2304,0,33,384
25594,11520,384,384,2304,2304,2304,0,57,380
25598,11520,384,384,2304,2304,2304,0,38,384
25599,11520,384,384,2304,2304,2304,0,82,383
25605,11520,384,384,2304,2304,2304,0,65,369
25638,11520,384,384,2304,2304,2304,0,28,384
25639,11520,384,384,2304,2304,2304,0,43,383
25641,11520,384,384,2304,2304,2304,0,46,382
25642,11520,384,384,2304,2304,2304,0,45,383
25643,11520,384,384,2304,2304,2304,0,52,384
25663,11520,384,384,2304,2304,2304,0,84,383
25664,11520,384,384,2304,2304,2304,0,62,383
25665,11520,384,384,2304,2304,2304,0,61,381
25667,11520,384,384,2304,2304,2304,0,60,384
25674,11520,384,384,2304,2304,2304,0,88,382
25675,11520,384,384,2304,2304,2304,0,37,381
25676,11520,384,384,2304,2304,2304,0,86,380
25677,11520,384,384,2304,2304,2304,0,25,381
25678,11520,384,384,2304,2304,2304,0,50,383
25679,11520,384,384,2304,2304,2304,0,82,384
25680,11520,384,384,2304,2304,2304,0,96,382
25681,11520,384,384,2304,2304,2304,0,65,381
25683,11520,384,384,2304,2304,2304,0,35,382
25686,11520,384,384,2304,2304,2304,0,19,383
25688,11520,384,384,2304,2304,2304,0,16,383
25689,11520,384,384,2304,2304,2304,0,11,383
25690,11520,384,384,2304,2304,2304,0,16,382
25692,11520,384,384,2304,2304,2304,0,21,384
25694,11520,384,384,2304,2304,2304,0,19,384
25695,11520,384,384,2304,2304,2304,0,23,383
25700,11520,384,384,2304,2304,2304,0,15,384
25704,11520,384,384,2304,2304,2304,0,32,384
25707,11520,384,384,2304,2304,2304,0,22,384
25708,11520,384,384,2304,2304,2304,0,20,384
25723,11520,384,384,2304,2304,2304,0,28,650
